2000	8500			
3	102	1295	1303	-1372
3	49	-459	1840	1268
3	71	-1481	536	-920
3	57	-1990	-1256	-465
3	6	-1548	-1429	-1574
3	32	833	-1242	-802
3	28	1270	-100	1571
3	46	1236	599	-652
3	33	22	138	750
3	75	-392	-1603	113
3	81	1464	89	1301
3	69	-1997	1562	1042
3	31	1683	-1334	758
3	86	1828	-1511	-1043
3	19	-1262	388	-699
3	101	1434	1817	44
3	48	1676	-79	-1897
3	51	-877	-1328	1329
3	83	-539	1490	329
3	52	-678	1328	-714
3	38	-1331	135	882
3	5	-1710	-545	1042
3	27	1601	-138	-15
3	89	1747	-311	-1165
3	32	-402	-570	-559
3	84	-181	1277	1394
3	80	-26	-360	807
3	94	-1755	1566	-206
3	38	1445	241	288
3	41	1840	-718	748
3	56	-1658	-12	1970
3	77	1314	1100	979
3	26	187	-1922	-509
3	40	369	-1135	-1243
3	84	-835	-1584	277
3	13	276	1639	-120
3	5	-865	4	293
3	87	-787	310	381
3	104	-298	-1071	1205
3	78	-1100	561	531
3	75	-1484	419	151
3	72	-796	-1527	844
3	9	-1547	-157	-1276
3	88	-1998	-1750	1047
3	38	150	-390	-1334
3	34	-1193	1249	1895
3	79	-185	1648	-84
3	96	-1994	283	-1609
3	90	1247	-207	810
3	16	1067	1558	489
3	17	-1876	1431	1504
3	84	327	-959	3
3	41	-1864	-1980	-1021
3	51	-533	496	1438
3	54	-1441	1856	404
3	49	-184	-131	73
3	65	42	227	-1805
3	41	-783	-500	-1771
3	33	1034	-505	1516
3	98	-1317	-1287	160
3	38	363	-1401	545
3	93	-1281	-1129	-672
3	39	876	-1956	-1809
3	102	-1666	-794	285
3	28	-1485	582	1418
3	33	59	-664	-34
3	23	-1049	-379	-250
3	46	1029	340	-1379
3	98	618	-651	-1932
3	6	1033	1317	1778
3	86	-1084	-1020	-743
3	76	238	671	-220
3	104	-1910	1420	-24
3	79	426	-875	-1660
3	61	-1553	-810	-808
3	47	1408	-343	788
